number,description,parent_code,level
0201010.02,Investeringen terreinen,,5
0305010.14,Stortingen / ontvangen ,,5
0309024.15,Overige mutaties vorderingen op lid 5,,5
0309039.04,Toename ledenrekening 1,,5
0110010.05,Afstotingen overige immateriële vaste activa,,5
0203015.07,Afstotingen verbouwingen,,5
0215015.07,Afstotingen inventaris,,5
0704050.06,Oprenting van voorzieningen ,,5
0807010.13,Stortingen / ontvangsten,,5
0806171.09,Stortingen / ontvangsten,,5
1228510,Tussenrekening leningen OG,,3
8215010.04,Recettes,,5
0106020.03,"Afschrijving op desinvesteringen concessies, vergunningen en intellectuele eigendom",,5
0101010.01,Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen,,5
0101010.02,Investeringen kosten van oprichting en van uitgifte van aandelen,,5
0101010.03,Bij overname verkregen activa kosten van oprichting en van uitgifte van aandelen,,5
0101010.04,Desinvesteringen kosten van oprichting en van uitgifte van aandelen,,5
0101010.05,Afstotingen kosten van oprichting en van uitgifte van aandelen,,5
0101010.06,Omrekeningsverschillen kosten van oprichting en van uitgifte van aandelen,,5
0101010.07,Overige mutaties kosten van oprichting en van uitgifte van aandelen,,5
0101015.01,Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen,,5
0101015.02,Investeringen kosten van oprichting en van uitgifte van aandelen,,5
0101015.03,Bij overname verkregen activa kosten van oprichting en van uitgifte van aandelen,,5
0101015.04,Desinvesteringen kosten van oprichting en van uitgifte van aandelen,,5
0101015.05,Afstotingen kosten van oprichting en van uitgifte van aandelen,,5
0101015.06,Omrekeningsverschillen kosten van oprichting en van uitgifte van aandelen,,5
0101015.07,Overige mutaties kosten van oprichting en van uitgifte van aandelen,,5
0101020.01,Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen,,5
0101020.02,Afschrijvingen kosten van oprichting en van uitgifte van aandelen,,5
0101020.03,Afschrijving op desinvesteringen kosten van oprichting en van uitgifte van aandelen,,5
0101020.04,Bijzondere waardeverminderingen kosten van oprichting en van uitgifte van aandelen,,5
0101020.05,Terugneming van bijzondere waardeverminderingen kosten van oprichting en van uitgifte van aandelen,,5
0101030.01,Beginbalans (overname eindsaldo vorig jaar) kosten van oprichting en van uitgifte van aandelen,,5
0101030.02,Herwaarderingen kosten van oprichting en van uitgifte van aandelen,,5
0101030.03,Afschrijving herwaarderingen kosten van oprichting en van uitgifte van aandelen,,5
0101030.04,Desinvestering herwaarderingen kosten van oprichting en van uitgifte van aandelen,,5
0102010.01,Beginbalans (overname eindsaldo vorig jaar) kosten van ontwikkeling,,5
0102010.02,Investeringen kosten van ontwikkeling,,5
0102010.03,Bij overname verkregen activa kosten van ontwikkeling,,5
0102010.04,Desinvesteringen kosten van ontwikkeling,,5
0102010.05,Afstotingen kosten van ontwikkeling,,5
0102010.06,Omrekeningsverschillen kosten van ontwikkeling,,5
0102010.07,Overige mutaties kosten van ontwikkeling,,5
0102015.01,Beginbalans (overname eindsaldo vorig jaar) kosten van ontwikkeling,,5
0102015.02,Investeringen kosten van ontwikkeling,,5
0102015.03,Bij overname verkregen activa kosten van ontwikkeling,,5
0102015.04,Desinvesteringen kosten van ontwikkeling,,5
0102015.05,Afstotingen kosten van ontwikkeling,,5
0102015.06,Omrekeningsverschillen kosten van ontwikkeling,,5
0102015.07,Overige mutaties kosten van ontwikkeling,,5
0102020.01,Beginbalans (overname eindsaldo vorig jaar) kosten van ontwikkeling,,5
0102020.02,Afschrijvingen kosten van ontwikkeling,,5
0102020.03,Afschrijving op desinvesteringen kosten van ontwikkeling,,5
0102020.04,Bijzondere waardeverminderingen kosten van ontwikkeling,,5
0102020.05,Terugneming van bijzondere waardeverminderingen kosten van ontwikkeling,,5
0102030.01,Beginbalans (overname eindsaldo vorig jaar) kosten van ontwikkeling,,5
0102030.02,Herwaarderingen kosten van ontwikkeling,,5
0102030.03,Afschrijving herwaarderingen kosten van ontwikkeling,,5
0102030.04,Desinvestering herwaarderingen kosten van ontwikkeling,,5
0106010.01,"Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom",,5
0106010.02,"Investeringen concessies, vergunningen en intellectuele eigendom",,5
0106010.03,"Bij overname verkregen activa concessies, vergunningen en intellectuele eigendom",,5
0106010.04,"Desinvesteringen concessies, vergunningen en intellectuele eigendom",,5
0106010.05,"Afstotingen concessies, vergunningen en intellectuele eigendom",,5
0106010.06,"Omrekeningsverschillen concessies, vergunningen en intellectuele eigendom",,5
0106010.07,"Overige mutaties concessies, vergunningen en intellectuele eigendom",,5
0106015.01,"Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom",,5
0106015.02,"Investeringen concessies, vergunningen en intellectuele eigendom",,5
0106015.03,"Bij overname verkregen activa concessies, vergunningen en intellectuele eigendom",,5
0106015.04,"Desinvesteringen concessies, vergunningen en intellectuele eigendom",,5
0106015.05,"Afstotingen concessies, vergunningen en intellectuele eigendom",,5
0106015.06,"Omrekeningsverschillen concessies, vergunningen en intellectuele eigendom",,5
0106015.07,"Overige mutaties concessies, vergunningen en intellectuele eigendom",,5
0106020.01,"Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom",,5
0106020.02,"Afschrijvingen concessies, vergunningen en intellectuele eigendom",,5
0106020.04,"Bijzondere waardeverminderingen concessies, vergunningen en intellectuele eigendom",,5
0106020.05,"Terugneming van bijzondere waardeverminderingen concessies, vergunningen en intellectuele eigendom",,5
0106030.01,"Beginbalans (overname eindsaldo vorig jaar) concessies, vergunningen en intellectuele eigendom",,5
0106030.02,"Herwaarderingen concessies, vergunningen en intellectuele eigendom",,5
0106030.03,"Afschrijving herwaarderingen concessies, vergunningen en intellectuele eigendom",,5
0106030.04,"Desinvestering herwaarderingen concessies, vergunningen en intellectuele eigendom",,5
0107010.01,Beginbalans (overname eindsaldo vorig jaar) goodwill,,5
0107010.02,Investeringen goodwill,,5
0107010.03,Bij overname verkregen activa goodwill,,5
0107010.04,Desinvesteringen goodwill,,5
0107010.05,Afstotingen goodwill,,5
0107010.06,Omrekeningsverschillen goodwill,,5
0107010.07,Overige mutaties goodwill,,5
0107015.01,Beginbalans (overname eindsaldo vorig jaar) goodwill,,5
0107015.02,Investeringen goodwill,,5
0107015.03,Bij overname verkregen activa goodwill,,5
0107015.04,Desinvesteringen goodwill,,5
0107015.05,Afstotingen goodwill,,5
0107015.06,Omrekeningsverschillen goodwill,,5
0107015.07,Overige mutaties goodwill,,5
0107020.01,Beginbalans (overname eindsaldo vorig jaar) goodwill,,5
0107020.02,Afschrijvingen goodwill,,5
0107020.03,Afschrijving op desinvesteringen goodwill,,5
0107020.04,Bijzondere waardeverminderingen goodwill,,5
0107020.05,Terugneming van bijzondere waardeverminderingen goodwill,,5
0107020.06,Overige mutaties waardeveranderingen goodwill,,5
0107030.01,Beginbalans (overname eindsaldo vorig jaar) goodwill,,5
0107030.02,Herwaarderingen goodwill,,5
0107030.03,"Afschrijving herwaarderingen concessies, goodwill",,5
0201030.06,Overige mutaties herwaarderingen terreinen,,5
0107030.05,Aanpassingen van de goodwill als gevolg van later geïdentificeerde activa en passiva en veranderingen in de waarde ervan,,5
0107030.04,Desinvestering herwaarderingen goodwill,,5
0109010.01,Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa,,5
0109010.02,Investeringen vooruitbetalingen op immateriële vaste activa,,5
0109010.03,Bij overname verkregen activa vooruitbetalingen op immateriële vaste activa,,5
0109010.04,Desinvesteringen vooruitbetalingen op immateriële vaste activa,,5
0109010.05,Afstotingen vooruitbetalingen op immateriële vaste activa,,5
0109010.06,Omrekeningsverschillen vooruitbetalingen op immateriële vaste activa,,5
0109010.07,Overige mutaties vooruitbetalingen op immateriële vaste activa,,5
0109015.01,Beginbalans (overname eindsaldo vorig jaar) vooruitbetalingen op immateriële vaste activa,,5
0109015.02,Investeringen vooruitbetalingen op immateriële vaste activa,,5
0109015.03,Bij overname verkregen activa vooruitbetalingen op immateriële vaste activa,,5
